open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,115697.30,115877.80,114239.00,115366.90,21495.534,1754009999999,2473716709.55010,376124,9343.768,1075707468.51370,0
1754010000000,115366.90,115547.20,114525.00,115270.20,11791.830,1754013599999,1356884100.18580,294531,6000.663,690528273.23640,0
1754013600000,115270.00,115958.10,115159.60,115908.80,5854.093,1754017199999,677036467.91830,130341,3251.884,376050219.35890,0
1754017200000,115908.70,116000.00,115557.00,115595.70,3463.390,1754020799999,401074292.37710,82815,1549.683,179478287.59570,0
1754020800000,115595.60,115658.00,115208.70,115648.30,3763.291,1754024399999,434502890.01780,101933,1708.718,197284334.83730,0
1754024400000,115648.40,115873.40,115313.30,115511.40,3399.244,1754027999999,392931894.20020,97920,1572.505,181769031.98400,0
1754028000000,115511.40,115600.00,115017.30,115112.80,4951.036,1754031599999,570398707.52910,114869,2297.139,264634896.52140,0
1754031600000,115112.90,115257.60,114579.50,115015.10,9100.963,1754035199999,1045077364.07400,172910,4488.499,515414963.35330,0
1754035200000,115015.10,115015.10,114055.60,114552.30,11106.016,1754038799999,1271467704.74480,234707,5432.450,622044354.60470,0
1754038800000,114552.30,115291.10,114495.90,114890.30,6779.132,1754042399999,779764077.88810,149337,3635.860,418201282.83970,0
1754042400000,114890.40,115153.60,114633.10,114697.70,4419.786,1754045999999,507743483.99490,95660,1986.876,228281491.30950,0
1754046000000,114697.80,115282.60,114543.20,115246.60,4284.448,1754049599999,492503974.35060,99046,2349.005,270025369.10550,0
1754049600000,115246.50,115886.00,115083.70,115674.90,10406.269,1754053199999,1202587384.43230,211243,5648.475,652844709.08310,0
1754053200000,115674.90,115956.00,114121.00,114304.70,15360.160,1754056799999,1766310996.81810,318209,6739.274,774969003.76110,0
1754056800000,114304.70,115782.50,113871.10,115568.70,19416.085,1754060399999,2234669242.27100,362589,9755.235,1123021184.03840,0
1754060400000,115568.70,115597.40,114625.90,115305.30,9618.253,1754063999999,1106568257.09310,215736,4963.174,570942306.25530,0
1754064000000,115305.30,115656.80,114769.20,114962.20,8504.396,1754067599999,980319257.77800,171129,3812.450,439558520.69120,0
1754067600000,114962.20,115060.90,114300.00,114387.30,8673.890,1754071199999,994207708.27150,198163,4285.794,491327128.29170,0
1754071200000,114387.20,114461.50,113632.40,113792.70,15088.794,1754074799999,1720570983.69330,289891,6627.054,755746029.88980,0
1754074800000,113792.70,113887.60,113173.70,113278.50,13821.336,1754078399999,1568482886.95800,278113,6275.290,712205375.07330,0
1754078400000,113278.40,113934.00,113113.00,113900.00,7747.180,1754081999999,878866702.50670,156379,4287.234,486484024.74010,0
1754082000000,113900.10,114039.00,113617.90,113833.90,3829.700,1754085599999,436176450.88770,81519,2048.408,233316542.38070,0
1754085600000,113834.00,113958.30,112660.00,113086.20,13460.530,1754089199999,1522850942.45770,305892,5880.068,665324845.12070,0
1754089200000,113086.30,113518.70,112850.70,113244.80,4946.743,1754092799999,560167243.77540,132634,2477.320,280539091.55740,0
1754092800000,113244.80,113788.00,113145.00,113762.70,4502.157,1754096399999,510813884.16610,116474,2576.804,292358675.40200,0
1754096400000,113762.60,113863.00,113357.10,113620.10,2536.665,1754099999999,288207869.92090,71966,1154.545,131182022.18570,0
1754100000000,113620.00,113715.30,113466.10,113647.20,1782.853,1754103599999,202551435.75060,53246,755.232,85806724.97970,0
1754103600000,113647.20,113873.70,113647.20,113859.90,2205.400,1754107199999,250948335.01780,56027,1282.267,145910218.58620,0
1754107200000,113860.00,114000.00,113766.30,113969.60,2648.155,1754110799999,301686252.16300,53113,1194.276,136044674.90020,0
1754110800000,113969.60,113995.00,113790.20,113929.10,1933.173,1754114399999,220231840.79590,47557,724.494,82540711.46070,0
1754114400000,113929.10,113938.90,113415.80,113655.10,4429.015,1754117999999,503183257.94390,98244,1872.452,212702157.63880,0
1754118000000,113655.00,113965.70,113509.00,113919.90,2927.983,1754121599999,333273253.43480,66208,1454.930,165596624.49140,0
1754121600000,113920.00,113988.00,113605.50,113633.80,2953.558,1754125199999,336067840.30730,62877,1182.689,134578457.67750,0
1754125200000,113633.80,113804.70,113520.00,113634.30,2113.884,1754128799999,240205823.97100,52907,1036.158,117744574.21150,0
1754128800000,113634.40,113662.70,113370.00,113504.20,3065.645,1754132399999,347903578.12430,63782,1181.427,134091063.84910,0
1754132400000,113504.10,113863.50,113401.00,113732.50,2085.748,1754135999999,237126049.01730,53656,1180.429,134195815.72690,0
1754136000000,113732.60,113740.50,113519.10,113574.10,1394.751,1754139599999,158483632.03130,44814,616.191,70021233.81620,0
1754139600000,113574.10,113595.60,113168.00,113410.10,4365.794,1754143199999,494923647.17850,84349,2113.147,239551006.76780,0
1754143200000,113410.10,113488.00,112877.00,113054.60,6073.972,1754146799999,686863723.13430,125803,2770.290,313289127.22740,0
1754146800000,113054.50,113384.60,112769.20,112798.60,6659.876,1754150399999,752937277.45090,103981,2147.230,242773996.01900,0
1754150400000,112798.60,113219.60,112674.70,113156.90,6845.943,1754153999999,772946968.56670,127255,3671.763,414604586.06080,0
1754154000000,113156.90,113388.90,112507.90,112689.40,8326.992,1754157599999,940424163.00050,118643,3189.316,360155230.55340,0
1754157600000,112689.40,112876.60,111990.00,112285.20,11577.854,1754161199999,1301247553.69180,251332,5065.927,569650651.83780,0
1754161200000,112285.10,112895.80,111910.00,112175.50,9586.285,1754164799999,1076957859.49300,199919,4541.277,510130387.96130,0
1754164800000,112175.50,112750.30,112007.90,112750.30,4865.122,1754168399999,546204602.16120,127972,2719.062,305335689.76820,0
1754168400000,112750.20,113022.50,112506.20,112814.00,3606.922,1754171999999,406775319.12350,96446,1757.526,198219225.16450,0
1754172000000,112814.10,112965.90,112497.70,112810.20,2268.362,1754175599999,255729560.78380,59839,1087.000,122535001.06340,0
1754175600000,112810.30,112824.90,112233.30,112508.80,3703.339,1754179199999,416634198.34720,116726,1894.792,213147187.17120,0
1754179200000,112508.80,112946.20,111850.00,112902.30,7621.422,1754182799999,856783866.38190,177263,3686.042,414487274.52270,0
1754182800000,112902.30,113225.80,112780.60,113050.30,4125.562,1754186399999,466306705.75980,108658,1921.741,217234009.71350,0
1754186400000,113050.40,113471.20,113040.20,113466.30,2952.589,1754189999999,334572358.20420,67428,1780.423,201748356.63160,0
1754190000000,113466.30,113694.00,113380.50,113550.90,3262.197,1754193599999,370402043.68490,73291,1684.424,191251166.54720,0
1754193600000,113550.90,113550.90,113285.70,113424.20,2317.750,1754197199999,262841129.24800,50859,966.732,109625812.88370,0
1754197200000,113424.30,113621.70,113362.50,113570.30,1613.072,1754200799999,183072238.62980,37016,877.765,99620188.00620,0
1754200800000,113570.40,113584.80,113417.20,113504.20,960.389,1754204399999,108991960.83970,28981,416.273,47242021.57740,0
1754204400000,113504.20,113676.40,113504.20,113647.20,1410.560,1754207999999,160274261.04660,35269,754.619,85743692.12270,0
1754208000000,113647.20,113749.70,113492.50,113640.80,2507.752,1754211599999,284985667.35510,46165,1391.597,158153603.54820,0
1754211600000,113640.90,113672.00,113563.00,113612.40,1049.973,1754215199999,119296353.13580,31461,515.114,58528358.23980,0
1754215200000,113612.40,113848.00,113612.30,113846.00,1776.335,1754218799999,202075124.53090,42165,1106.733,125905567.98720,0
1754218800000,113846.00,114200.00,113810.00,113810.10,5689.399,1754222399999,648612237.09170,109352,2871.329,327354485.13920,0
1754222400000,113810.00,114049.80,113600.00,113957.00,3418.518,1754225999999,389076134.29030,75759,1678.581,191058482.28610,0
1754226000000,113957.10,114040.00,113754.40,113896.90,1697.023,1754229599999,193260517.57070,57380,822.790,93704731.93560,0
1754229600000,113897.00,114017.30,113529.60,113732.20,3822.871,1754233199999,434751019.94710,89788,1645.900,187171477.64590,0
1754233200000,113732.20,113922.20,113617.80,113904.30,1961.984,1754236799999,223183042.24110,57449,910.143,103546934.79360,0
1754236800000,113904.30,113987.40,113727.80,113950.10,1578.499,1754240399999,179739095.99050,44518,587.481,66897225.83540,0
1754240400000,113950.10,114125.20,113894.10,114068.90,1694.486,1754243999999,193208650.96770,52986,821.477,93668282.14830,0
1754244000000,114068.90,114420.50,114008.70,114328.40,3186.053,1754247599999,363974529.34370,77269,1675.978,191480992.92620,0
1754247600000,114328.50,114730.00,114200.10,114259.00,4111.426,1754251199999,470647411.24240,109241,2044.444,234062422.11100,0
1754251200000,114259.10,114418.90,114110.90,114370.20,1565.003,1754254799999,178789603.51530,48622,766.709,87592230.62410,0
1754254800000,114370.10,114469.40,114307.60,114378.80,1021.094,1754258399999,116809966.32730,35392,372.371,42600144.92350,0
1754258400000,114378.80,114567.30,114011.30,114264.80,2432.234,1754261999999,277757500.67710,80705,1159.892,132463119.49310,0
1754262000000,114264.80,114459.70,114120.50,114150.80,1407.678,1754265599999,160848938.74450,49890,638.538,72959510.03830,0
1754265600000,114150.90,114890.00,114053.80,114856.60,4830.074,1754269199999,553191153.61660,119021,2472.832,283287534.98350,0
1754269200000,114856.70,114963.40,114562.80,114637.80,3414.295,1754272799999,391746396.52180,96362,1694.183,194410626.88260,0
1754272800000,114637.80,114843.50,114358.10,114754.90,2604.549,1754276399999,298436301.10820,72097,1184.190,135709202.27870,0
1754276400000,114755.00,114760.20,114469.60,114520.20,1446.319,1754279999999,165777388.71420,44787,618.614,70906343.98200,0
1754280000000,114520.30,114605.80,114275.20,114336.60,2371.005,1754283599999,271284746.94440,50246,920.782,105357002.79410,0
1754283600000,114336.50,114384.60,114130.50,114335.60,2595.415,1754287199999,296485694.54050,68961,1258.049,143722804.56150,0
1754287200000,114335.70,114447.20,114089.00,114372.10,2167.341,1754290799999,247637310.89280,63726,1073.631,122681702.54830,0
1754290800000,114372.20,114739.30,114350.30,114607.00,2146.036,1754294399999,245876562.74200,55687,987.840,113163207.05030,0
1754294400000,114607.00,114715.00,114301.80,114493.40,2953.541,1754297999999,338271248.72600,72139,1282.012,146833979.06590,0
1754298000000,114493.40,114700.00,114250.00,114273.00,1666.092,1754301599999,190752288.46330,52823,660.627,75640355.15870,0
1754301600000,114272.90,114459.90,114180.00,114201.70,1522.772,1754305199999,174084170.87030,55394,774.946,88601702.87750,0
1754305200000,114201.70,114476.70,114166.00,114450.00,1495.264,1754308799999,170926143.37930,52748,821.691,93928198.05690,0
1754308800000,114450.10,114499.00,114261.50,114395.30,1720.229,1754312399999,196766835.88150,54031,717.508,82073910.51700,0
1754312400000,114395.20,114879.20,114070.00,114870.10,7583.028,1754315999999,868243557.66390,160477,3718.248,425768273.53190,0
1754316000000,114870.00,115431.60,114574.20,114686.60,14338.898,1754319599999,1650682428.29800,288974,6879.377,791921551.18140,0
1754319600000,114686.60,114981.60,114500.00,114766.30,3933.180,1754323199999,451393710.34740,120216,1960.954,225041976.34830,0
1754323200000,114766.40,115384.60,114766.40,115253.30,6304.573,1754326799999,725518681.62600,149542,3412.227,392688511.73730,0
1754326800000,115253.30,115686.00,115091.60,115149.90,6013.005,1754330399999,694096196.75570,139851,2985.113,344602011.62410,0
1754330400000,115149.80,115270.80,114857.40,114907.30,2226.256,1754333999999,256170468.52170,72440,1007.635,115976025.98270,0
1754334000000,114907.20,115082.30,114681.10,114724.00,2478.234,1754337599999,284569757.72590,73971,1200.843,137893734.01450,0
1754337600000,114724.00,115042.60,114580.40,114754.90,3394.162,1754341199999,389594864.32020,84995,1704.801,195683029.50470,0
1754341200000,114754.90,115222.00,114754.70,115066.30,2107.008,1754344799999,242330608.45560,57906,1143.481,131492197.56860,0
1754344800000,115066.20,115284.20,115028.10,115284.10,1964.564,1754348399999,226210175.29500,67439,1104.907,127225572.97820,0
1754348400000,115284.20,115299.00,114990.40,115002.10,2052.751,1754351999999,236402509.64040,48748,847.945,97676969.37090,0
1754352000000,115002.10,115073.30,114780.00,114837.50,2358.294,1754355599999,271008944.49340,73440,1162.065,133540174.25410,0
1754355600000,114837.50,115006.50,114632.80,114668.30,1944.227,1754359199999,223203355.82520,68032,992.341,113932257.99720,0
1754359200000,114668.20,114789.30,114562.30,114683.10,1746.107,1754362799999,200201255.85810,54939,877.149,100575602.33790,0
1754362800000,114683.10,114700.00,114213.60,114215.00,4269.801,1754366399999,488261179.82310,88307,1922.036,219766069.30550,0
1754366400000,114214.90,114392.60,114114.00,114287.80,3088.287,1754369999999,352811043.39560,66215,1474.182,168423379.49720,0
1754370000000,114287.80,114450.00,114201.10,114373.80,2364.307,1754373599999,270339084.92570,50359,1153.078,131846811.90590,0
1754373600000,114373.80,114468.10,114054.30,114135.00,3121.767,1754377199999,356659815.87130,53349,1272.409,145400683.41220,0
1754377200000,114134.90,114359.70,113650.00,113924.70,8315.520,1754380799999,948044326.38050,133300,3545.519,404210749.63770,0
1754380800000,113924.70,114492.00,113869.50,114239.80,4880.831,1754384399999,557397047.75290,106015,2672.830,305211633.74940,0
