open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756684800000,4389.58,4409.06,4356.61,4393.82,282838.755,1756688399999,1239595708.34563,378109,146392.990,641898146.16916,0
1756688400000,4393.82,4429.91,4380.99,4414.50,194394.933,1756691999999,856735852.13395,280638,104545.962,460872809.01154,0
1756692000000,4414.51,4417.69,4364.27,4385.00,216403.304,1756695599999,948866239.21761,301314,100838.219,442099338.57786,0
1756695600000,4385.00,4406.84,4369.11,4401.34,167800.062,1756699199999,736001300.45610,226486,97357.867,427123487.78269,0
1756699200000,4401.35,4409.75,4370.37,4383.80,136355.363,1756702799999,598276584.80507,189787,60451.126,265183886.93005,0
1756702800000,4383.80,4404.78,4356.79,4392.33,165717.005,1756706399999,726368465.26726,210255,80112.376,351235585.13960,0
1756706400000,4392.33,4407.14,4372.24,4395.32,105962.693,1756709999999,465499639.42008,165599,55030.863,241770659.26500,0
1756710000000,4395.31,4462.47,4378.11,4461.11,333148.214,1756713599999,1474162986.13130,353731,189027.050,836469001.42794,0
1756713600000,4461.10,4490.00,4460.71,4474.08,326904.908,1756717199999,1462729003.82953,362002,162543.689,727363949.11204,0
1756717200000,4474.06,4480.90,4436.00,4439.16,179655.729,1756720799999,801274798.31700,212598,78210.117,348845440.67489,0
1756720800000,4439.16,4443.00,4387.12,4406.39,304161.988,1756724399999,1342501844.10539,346724,149059.434,657844521.09271,0
1756724400000,4406.40,4413.92,4380.01,4390.87,167279.337,1756727999999,735354900.48370,220628,79874.181,351194607.24620,0
1756728000000,4390.88,4410.82,4382.10,4401.25,129719.690,1756731599999,570607624.45024,192778,71877.989,316218049.17851,0
1756731600000,4401.26,4422.17,4370.01,4383.72,230609.028,1756735199999,1013606090.88062,293943,108069.673,475134622.05892,0
1756735200000,4383.72,4401.00,4377.85,4394.40,127898.458,1756738799999,561646739.73577,214560,65838.382,289149708.83735,0
1756738800000,4394.40,4403.91,4342.03,4359.69,284988.558,1756742399999,1244558939.16779,318084,122561.256,535481923.18191,0
1756742400000,4359.68,4369.78,4344.44,4353.31,138570.340,1756745999999,603866883.16134,224144,69162.289,301414214.54477,0
1756746000000,4353.30,4356.60,4307.25,4320.55,310661.779,1756749599999,1343437228.05621,364672,141685.632,612663117.32887,0
1756749600000,4320.54,4347.85,4320.15,4345.09,123597.019,1756753199999,536140824.64880,163398,67143.243,291228163.05453,0
1756753200000,4345.09,4367.81,4340.94,4366.18,111023.907,1756756799999,483637289.55821,136297,58120.548,253229590.48357,0
1756756800000,4366.17,4366.56,4258.60,4286.01,514263.605,1756760399999,2210280967.64348,458069,199481.062,857042189.07563,0
1756760400000,4286.00,4288.22,4205.49,4259.22,481303.921,1756763999999,2044803809.04918,452750,220176.285,935808685.81555,0
1756764000000,4259.23,4299.45,4249.45,4282.53,249696.048,1756767599999,1066648837.20832,277308,138162.062,590364041.22197,0
1756767600000,4282.53,4317.75,4280.65,4313.00,164539.239,1756771199999,707209063.74266,245791,93146.482,400417369.79411,0
1756771200000,4313.00,4317.75,4289.12,4302.31,132870.905,1756774799999,572012749.01371,235201,62325.664,268356636.07036,0
1756774800000,4302.31,4339.57,4291.37,4321.45,174540.878,1756778399999,753468791.10855,264803,93769.996,404875555.14846,0
1756778400000,4321.45,4362.96,4313.44,4358.86,156919.546,1756781999999,680639058.80380,242353,89453.114,388188038.69948,0
1756782000000,4358.86,4393.96,4350.69,4365.22,234963.879,1756785599999,1027348552.54335,321309,116174.584,508045424.79369,0
1756785600000,4365.23,4386.90,4358.97,4385.63,91862.502,1756789199999,401938524.80512,157405,44715.304,195685812.92932,0
1756789200000,4385.62,4387.50,4367.45,4382.64,83902.642,1756792799999,367422168.25178,152822,36174.910,158433812.44115,0
1756792800000,4382.63,4414.73,4379.60,4410.38,172881.962,1756796399999,760798593.72147,228483,91193.120,401310537.13957,0
1756796400000,4410.38,4411.96,4366.10,4375.44,214023.385,1756799999999,938777130.48015,226630,94414.761,414109848.32252,0
1756800000000,4375.44,4407.06,4366.79,4389.99,153641.367,1756803599999,674192176.79165,203863,80682.062,354046634.16010,0
1756803600000,4389.99,4406.22,4384.00,4398.23,92735.934,1756807199999,407649956.62821,125264,42276.368,185856265.56109,0
1756807200000,4398.24,4399.51,4375.95,4389.95,77132.411,1756810799999,338263876.75829,117620,33303.057,146044147.68943,0
1756810800000,4389.96,4390.95,4339.31,4346.05,187582.644,1756814399999,818462664.79536,191586,72751.517,317449376.97834,0
1756814400000,4346.05,4351.42,4268.87,4275.34,458294.972,1756817999999,1973978431.20978,482177,216093.190,930811660.35298,0
1756818000000,4275.33,4391.65,4272.65,4376.47,686223.620,1756821599999,2971871613.06668,743734,365321.366,1581438891.52031,0
1756821600000,4376.46,4395.20,4331.23,4346.01,452418.248,1756825199999,1972155620.97096,603020,211703.022,922991006.46376,0
1756825200000,4346.01,4351.70,4281.82,4293.12,367159.383,1756828799999,1584460927.24530,470978,167338.187,722425643.43336,0
1756828800000,4293.12,4308.76,4275.03,4294.18,231518.303,1756832399999,993755548.41528,348118,120301.134,516455998.16980,0
1756832400000,4294.18,4329.96,4285.19,4317.18,210226.143,1756835999999,905787386.25153,287162,121170.998,522139773.54738,0
1756836000000,4317.19,4320.91,4264.00,4294.58,282449.550,1756839599999,1212144953.89520,377521,137822.532,591621281.37413,0
1756839600000,4294.58,4312.52,4254.33,4272.47,204967.867,1756843199999,876717491.69801,305541,97696.757,418050835.19187,0
1756843200000,4272.47,4326.53,4264.03,4311.05,200213.218,1756846799999,861317964.61862,286670,105726.844,454838916.38333,0
1756846800000,4311.05,4333.63,4302.50,4326.80,100232.592,1756850399999,432878414.31061,135771,47126.485,203568156.99829,0
1756850400000,4326.84,4331.34,4307.09,4327.10,91956.596,1756853999999,397174525.07487,166533,44797.792,193514846.72245,0
1756854000000,4327.11,4336.08,4311.97,4324.59,63888.947,1756857599999,276160176.28586,124543,30944.531,133742672.43866,0
1756857600000,4324.58,4330.95,4302.00,4308.03,113155.124,1756861199999,488458365.20910,183195,58462.200,252363263.66204,0
1756861200000,4308.02,4324.17,4281.00,4323.41,142030.114,1756864799999,610231037.07425,198258,70971.309,304983739.37055,0
1756864800000,4323.40,4354.00,4310.21,4336.34,203849.528,1756868399999,884002598.18842,279772,102891.536,446269576.06848,0
1756868400000,4336.34,4341.83,4317.30,4332.55,87899.155,1756871999999,380560975.72688,157899,41671.123,180421903.27362,0
1756872000000,4332.55,4340.90,4310.95,4338.00,84189.110,1756875599999,364317105.71428,132253,40711.399,176199699.78902,0
1756875600000,4338.00,4339.20,4311.00,4312.99,84447.213,1756879199999,364996208.60413,128432,33071.903,142948013.40731,0
1756879200000,4313.00,4319.01,4288.56,4305.69,178737.450,1756882799999,769162301.93875,184930,84879.356,365262393.24431,0
1756882800000,4305.70,4313.82,4285.00,4307.83,117185.548,1756886399999,503907343.17519,163395,54945.571,236354269.76445,0
1756886400000,4307.84,4331.98,4305.59,4316.14,113639.125,1756889999999,490798866.47392,157434,57014.806,246260670.40772,0
1756890000000,4316.15,4351.54,4300.31,4349.92,151729.536,1756893599999,657030940.12335,185270,81624.875,353519913.00918,0
1756893600000,4349.92,4375.88,4342.17,4369.61,204595.779,1756897199999,892164532.18620,238087,98975.281,431641397.09742,0
1756897200000,4369.61,4383.93,4363.78,4369.58,142011.065,1756900799999,621144329.07747,201088,68446.551,299420368.63501,0
1756900800000,4369.58,4377.59,4339.56,4352.20,181851.997,1756904399999,792572678.86037,217903,86281.303,376085945.72016,0
1756904400000,4352.20,4438.94,4348.67,4417.45,494931.101,1756907999999,2177902978.66701,563819,262542.147,1155377423.56867,0
1756908000000,4417.44,4478.99,4413.13,4464.75,504024.337,1756911599999,2242088970.13586,615233,255976.326,1138635257.94802,0
1756911600000,4464.75,4484.26,4452.19,4477.00,237062.417,1756915199999,1058881292.84719,304751,113658.552,507726874.21829,0
1756915200000,4476.99,4481.30,4452.08,4464.26,197440.977,1756918799999,881130875.70457,234038,87038.125,388447985.51398,0
1756918800000,4464.25,4488.36,4461.80,4469.84,186277.270,1756922399999,833560844.04710,242800,94171.962,421481131.44468,0
1756922400000,4469.85,4477.19,4455.50,4466.92,101974.431,1756925999999,455266379.23719,164335,47087.981,210237363.17296,0
1756926000000,4466.92,4476.35,4456.03,4472.82,73625.615,1756929599999,328748909.03256,121910,39529.208,176510470.06096,0
1756929600000,4472.83,4477.72,4461.05,4462.44,50556.043,1756933199999,225932465.48578,98380,23781.206,106285287.39551,0
1756933200000,4462.45,4471.00,4437.10,4458.38,91194.574,1756936799999,406148386.22155,105761,39473.130,175877682.27119,0
1756936800000,4458.38,4480.00,4456.40,4467.63,61446.192,1756940399999,274467159.10037,128155,31601.635,141188360.22446,0
1756940400000,4467.63,4470.00,4442.14,4448.22,76537.460,1756943999999,340897113.86134,112097,35443.032,157846002.50768,0
1756944000000,4448.22,4480.99,4443.86,4466.52,119284.353,1756947599999,532855702.06173,178206,63635.536,284245386.72113,0
1756947600000,4466.52,4476.79,4447.33,4466.36,93450.905,1756951199999,416791430.56473,156221,44194.710,197125807.64545,0
1756951200000,4466.37,4468.97,4418.11,4419.80,193003.418,1756954799999,856042630.62979,245322,81605.343,361903051.72997,0
1756954800000,4419.81,4427.69,4386.72,4396.12,328559.409,1756958399999,1447606246.44226,346032,151784.712,668875050.86371,0
1756958400000,4396.12,4413.22,4385.45,4389.86,173839.413,1756961999999,764932620.37804,198983,93242.631,410336342.64586,0
